Red;Green;Blue
0;2;5
0;2;5
-1;0;4
0;0;4
0;0;4
0;0;4
0;1;4
0;1;5
0;1;5
0;0;4
0;1;5
0;0;5
0;0;4
-1;0;4
0;0;4
0;0;4
0;0;4
0;0;4
0;0;4
0;0;5
6;-1;0
6;-1;0
6;-1;0
6;-1;0
5;-1;0
6;-1;0
6;-1;0
6;-1;0
6;0;1
6;0;0
5;-1;0
6;-1;0
6;0;0
5;-1;0
6;0;0
5;-1;0
6;0;1
5;-1;0
6;0;0
5;-1;0
1;5;2
2;5;2
1;5;2
1;4;2
1;4;2
2;5;2
2;5;2
1;4;2
1;4;1
1;4;2
1;4;2
1;4;1
1;4;2
1;4;1
1;5;2
1;4;2
1;4;2
1;4;2
1;4;2
1;4;2
1;-1;0
0;-2;0
0;-2;0
2;-1;0
0;-2;0
-1;-3;0
0;-3;0
0;-2;0
0;-2;0
0;-2;0
0;-2;0
1;-1;0
0;-2;0
0;-2;0
0;-1;0
0;-2;0
0;-2;0
0;-3;-1
0;-2;0
0;-2;0
12;12;2
9;9;2
10;9;2
10;9;2
11;10;2
11;11;2
9;9;2
10;10;2
11;11;2
11;10;2
12;12;2
11;11;2
10;9;2
10;10;2
11;11;2
11;11;2
11;10;2
10;10;2
11;11;2
11;11;2
10;4;1
10;4;1
9;3;1
8;3;1
9;3;1
9;3;1
8;2;0
8;3;1
9;4;1
10;4;1
8;3;1
9;4;1
10;4;1
10;4;1
10;4;1
9;3;1
8;3;1
9;3;1
9;3;1
10;4;1
